"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872685291657","170.54656511793667","1754454288523"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858726854659196","170.54656509025622","1754454288697"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872686320242","170.54656506728392","1754454288916"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587268941629","170.5465650247519","1754454289086"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872692730618","170.5465649647852","1754454289297"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872697913497","170.5465648902837","1754454289504"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872702879692","170.54656481055903","1754454289674"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727093107284","170.54656474392922","1754454289904"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872714623335","170.54656467234295","1754454290126"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872718944029","170.54656461998962","1754454290293"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872722335482","170.54656458488344","1754454290515"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872725600047","170.54656456327186","1754454290674"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727304447","170.54656454653983","1754454290914"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872734253632","170.54656451714573","1754454291124"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872737138085","170.54656449995167","1754454291293"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872739977946","170.5465644863863","1754454291514"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872744460209","170.54656445903342","1754454291676"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872747960531","170.54656443579276","1754454291895"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727505923184","170.5465643992174","1754454292112"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727524427444","170.54656437462674","1754454292276"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872753649825","170.54656435345495","1754454292506"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727543043166","170.54656431219223","1754454292726"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872754482492","170.54656426033097","1754454292895"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727542648694","170.54656421674878","1754454293104"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727530764085","170.54656417021445","1754454293326"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872749418735","170.5465641617731","1754454293484"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872746116938","170.54656415544284","1754454293703"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587274320944","170.54656413238058","1754454293875"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727406813024","170.54656411855612","1754454294106"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727385151916","170.54656410584028","1754454294313"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872736657215","170.54656407671374","1754454294486"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872735104564","170.5465640498006","1754454294704"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872733846518","170.5465640080074","1754454294926"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872732803812","170.54656397839346","1754454295085"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872732063343","170.54656395201923","1754454295317"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872731524107","170.54656390437862","1754454295476"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727304134014","170.5465638460079","1754454295704"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872727162355","170.54656379497385","1754454295926"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587272450725","170.54656372639437","1754454296086"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872722320892","170.54656365007233","1754454296307"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587272054805","170.54656358413905","1754454296528"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872719784942","170.54656350409837","1754454296697"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872721548592","170.54656341857236","1754454296913"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872723012828","170.54656334649104","1754454297076"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727242351776","170.5465632628916","1754454297306"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727252262","170.5465631775486","1754454297508"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872725308112","170.54656311414846","1754454297728"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587272290945","170.5465630697314","1754454297906"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872720819436","170.54656303447757","1754454298128"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872718951728","170.54656298987908","1754454298287"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872717337371","170.5465629534021","1754454298507"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872715899099","170.54656290727064","1754454298726"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872714658391","170.54656287619986","1754454298918"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872713642033","170.5465628501646","1754454299127"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872712832448","170.5465628118418","1754454299287"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872712226892","170.546562786816","1754454299506"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872711732052","170.54656277264945","1754454299727"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872711304843","170.54656276052864","1754454299907"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.85872710936447","170.54656272576995","1754454300121"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.8587271058475","170.54656267852292","1754454300290"
"313.09","36757301","-45.858724089","170.546582831","0.0","-45.858727102729425","170.54656263699192","1754454300518"
